고유번호,조사제목,입력수,조사시작,중간날짜,조사끝,광역,선거구,선거구_2,언론사,조사방법,가상번호 사용여부,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,조사기관,후보자수,합계,더불어민주당,미래통합당,민생당,정의당,민중당,자유공화당,무소속1,무소속2,친박신당,열린민주당,바른미래당,국민의당,대안신당,민주평화당,국가혁명배당금당,새로운보수당,기타,없음,모름/무응답,사용하지 않음,비고,링크,질문 정리
6670,서울특별시 광진구 국회의원선거,1,2020-03-10,2020-03-11,2020-03-11,서울,광진구을,서울광진구을,중앙일보,유무선혼합,사용,전화면접,500,10.6,입소스 주식회사,2,99.9,44.5,36.8,,,,,,,,,,,,,,,4.5,9.7,4.4,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003150654571101.pdf.htm,가상대결
6658,서울특별시 광진구 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,1,2020-03-12,2020-03-13,2020-03-14,서울,광진구을,서울광진구을,"KBS, 한국일보",유무선혼합,사용,전화면접,500,14.8,한국리서치,2,100,43.3,32.3,,,,,,,,,,,,,,,7.2,1.9,15.3,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003160604547460.pdf.htm,가상대결
6637,"서울특별시 광진구 국회의원선거 후보지지도, 비례대표 정당지지도 등",1,2020-03-02,2020-03-03,2020-03-03,서울,광진구을,서울광진구을,뉴스핌,유무선혼합,사용,ARS,1001,3.3,코리아정보리서치 중부본부,2,100.1,38.6,48.2,,,,,,,,,,,,,,,2.6,5.9,4.8,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003050235299780.pdf.htm,누구를 지지하시겠습니까?
6631,서울특별시 광진구 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,1,2020-03-01,2020-03-02,2020-03-02,서울,광진구을,서울광진구을,한국일보,유무선혼합,사용,전화면접,500,13.4,한국리서치,2,100,35.9,38.5,,,,,,,,,,,,,,,5.7,3.1,16.8,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003040533419280.pdf.htm,가상대결
6625,서울특별시 광진구 국회의원선거 정당지지도 서울 광진을 국회의원선거,1,2020-02-29,2020-03-01,2020-03-01,서울,광진구을,서울광진구을,뉴시스,유무선혼합,사용,ARS,539,4.9,리얼미터,2,100.1,46.1,42,,,,,,,,,,,,,,,2.6,4.1,5.3,,"고민정, 오세훈",https://www.nesdc.go.kr/files/result/202003/FILE_202003020404313370.pdf.htm,가상대결
6671,서울특별시 동작구 국회의원선거 동작구 을,1,2020-03-13,2020-03-14,2020-03-14,서울,동작구을,서울동작구을,중앙일보,유무선혼합,사용,전화면접,501,8.5,입소스 주식회사,5,99.9,36.2,36.6,,5.4,2.5,0.8,,,,,,,,,,,1.1,11.2,6.1,,"이수진, 나경원, 이호영, 최서현, 이성우",https://www.nesdc.go.kr/files/result/202003/FILE_202003150707294781.pdf.htm,가상대결
6659,서울특별시 동작구 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가,1,2020-03-12,2020-03-13,2020-03-14,서울,동작구을,서울동작구을,"KBS, 한국일보",유무선혼합,사용,전화면접,500,11.5,한국리서치,2,100.1,37.3,33.9,,,,,,,,,,,,,,,9.3,1.8,17.8,,"이수진, 나경원",https://www.nesdc.go.kr/files/result/202003/FILE_202003170259223120.pdf.htm,가상대결
6687,서울특별시 동작구 국회의원선거 정당지지도 서울 동작을 국회의원선거,1,2020-03-14,2020-03-15,2020-03-15,서울,동작구을,서울동작구을,뉴시스,유무선혼합,사용,ARS,515,3.4,리얼미터,5,99.9,43,40.2,,5.5,1.8,1.6,,,,,,,,,,,1.6,3.3,2.9,,"이수진, 나경원, 이호영, 최서현, 이성우",,
6695,서울특별시 종로구 국회의원선거 비례대표국회의원선거 정당지지도,1,2020-03-15,2020-03-15,2020-03-15,서울,종로구,서울종로구,동아일보,무선,사용,전화면접,500,12,리서치앤리서치,2,100.1,55.3,30.6,,,,,,,,,,,,,,,0.6,2.9,10.7,,"이낙연, 황교안",https://www.nesdc.go.kr/files/result/202003/FILE_202003170115177330.pdf.htm,양자 가상대결
6676,서울특별시 종로구 국회의원선거 정당지지도 정기(정례)조사,1,2020-03-14,2020-03-15,2020-03-15,서울,종로구,서울종로구,MBC,유무선혼합,사용,전화면접,502,15.2,코리아리서치인터내셔널,2,100,51.6,33.2,,,,,,,,,,,,,,,5.9,5.3,4,,"이낙연, 황교안",https://www.nesdc.go.kr/files/result/202003/FILE_202003160219139311.pdf.htm,가상대결
6668,서울특별시 종로구 국회의원선거,1,2020-03-10,2020-03-11,2020-03-11,서울,종로구,서울종로구,중앙일보,유무선혼합,사용,전화면접,500,12.5,입소스 주식회사,4,100,50.5,30.2,0.8,,1.4,,,,,,,,,,,,1.8,10.2,5.1,,"이낙연, 황교안, 한병영, 오인환",https://www.nesdc.go.kr/files/result/202003/FILE_202003160220085710.pdf.htm,가상대결
6632,서울특별시 종로구 국회의원선거 비례대표국회의원선거 정당지지도 국정운영평가 및 현안,1,2020-03-01,2020-03-02,2020-03-02,서울,종로구,서울종로구,한국일보,유무선혼합,사용,전화면접,500,14.4,한국리서치,2,99.9,49.6,27.7,,,,,,,,,,,,,,,7.8,3.2,11.6,,"이낙연, 황교안",https://www.nesdc.go.kr/files/result/202003/FILE_202003040558498570.pdf.htm,가상대결
6597,서울특별시 종로구 국회의원선거 정당지지도 스트레이트뉴스 제 21대 국회의원 선거 조사(종로구),1,2020-02-23,2020-02-24,2020-02-24,서울,종로구,서울종로구,스트레이트 뉴스,무선,사용,ARS,511,4.9,조원씨앤아이,2,100.1,55.8,34,,,,,,,,,,,,,,,2,5,3.3,,,https://www.nesdc.go.kr/files/result/202003/FILE_202002250101447420.pdf.htm,양자대결
6585,서울특별시 종로구 국회의원선거 비례대표국회의원선거,1,2020-02-22,2020-02-23,2020-02-23,서울,종로구,서울종로구,KBS,유무선혼합,사용,전화면접,500,20,한국리서치,2,99.9,47.9,27.9,,,,,,,,,,,,,,,10.5,1.7,11.9,,,https://www.nesdc.go.kr/files/result/202003/FILE_202002240312330990.pdf.htm,가상대결
6565,서울특별시 종로구 국회의원선거 정당지지도 제21대 국회의원선거(종로구),1,2020-02-17,2020-02-18,2020-02-18,서울,종로구,서울종로구,쿠키뉴스,무선,사용,ARS,501,4.7,조원씨앤아이,2,100,50.6,35.8,,,,,,,,,,,,,,,4,5.3,4.3,,,https://www.nesdc.go.kr/files/result/202003/FILE_202002191056344791.pdf.htm,양자대결
6522,"서울특별시 종로구 국회의원선거 정당지지도 가상대결, 투표 참여의향 등",1,2020-02-07,2020-02-08,2020-02-08,서울,종로구,서울종로구,뉴스토마토,무선,사용,ARS,708,7,케이에스오아이 주식회사(한국사회여론연구소),2,100,54.7,34,,,,,,,,,,,,,,,1.9,7.5,1.9,,"이낙연, 황교안",https://www.nesdc.go.kr/files/result/202003/FILE_202002090946201070.pdf.htm,가상대결1
6484,서울특별시 종로구 국회의원선거정당지지도,1,2020-01-28,2020-01-29,2020-01-30,서울,종로구,서울종로구,SBS,유무선혼합,사용,ARS,500,17.1,입소스 주식회사,2,99.8,53.2,26,,,1.9,,,,,,,,,,,3,1,10.9,3.8,,"이낙연, 황교안, 정문헌, 오인환",https://www.nesdc.go.kr/files/result/202003/FILE_202002010613073030.pdf.htm,가상대결
6572,서울특별시 종로구 국회의원선거 정당지지도 서울 종로구 국회의원선거,1,2020-02-19,2020-02-20,2020-02-20,서울,"종로구 가 선거구, 나 선거구, 다 선거구, 라 선거구",서울종로구,뉴시스,유무선혼합,사용,ARS,516,4.4,리얼미터,3,100.2,50.3,39.2,,,2,,,,,,,,,,,,1.7,4.8,2.2,,,https://www.nesdc.go.kr/files/result/202003/FILE_202002210633402550.pdf.htm,가상대결
6557,서울특별시 종로구 국회의원선거 정당지지도 서울 종로구 국회의원선거,1,2020-02-17,2020-02-18,2020-02-18,서울,"종로구 가 선거구, 나 선거구, 다 선거구, 라 선거구",서울종로구,JTBC,유무선혼합,사용,ARS,514,4.4,리얼미터,3,100,54.7,37.2,,,1.4,,,,,,,,,,,,2.5,2.6,1.6,,,https://www.nesdc.go.kr/files/result/202003/FILE_202002180620592130.pdf.htm,가상대결
6693,전라남도 목포시 국회의원선거 정당지지도,1,2020-03-14,2020-03-15,2020-03-16,전남,목포시,전남목포시,목포시민신문,유무선혼합,사용,ARS,511,2.6,모노커뮤니케이션즈,3,100,41.6,,26,17.4,,,,,,,,,,,,,3.6,6.2,5.2,,"김원이, 박지원, 윤소하",https://www.nesdc.go.kr/files/result/202003/FILE_202003160555059160.pdf.htm,후보지지도 상세결과
6588,전라남도 목포시 국회의원선거 비례대표국회의원선거 정당지지도,1,2020-02-22,2020-02-23,2020-02-23,전남,목포시,전남목포시,KBS,유무선혼합,사용,전화면접,500,22.5,한국리서치,3,100,35.8,,,13.9,,,,,,,,,21.4,,,,11.7,5.1,12.1,,"김원이, 박지원, 윤소하",https://www.nesdc.go.kr/files/result/202003/FILE_202002240459427450.pdf.htm,가상대결
6506,전라남도 목포시 국회의원선거 정당지지도,1,2020-01-28,2020-01-29,2020-01-30,전남,목포시,전남목포시,SBS,유무선혼합,사용,ARS,508,18.6,입소스 주식회사,2,99.9,24.8,,,27.2,,,,,,,,,31.6,,,,4.5,9.2,2.6,,"김원이, 박지원, 윤소하",https://www.nesdc.go.kr/files/result/202003/FILE_202002041107101950.pdf.htm,가상대결1
6456,전라남도 목포시 국회의원선거 정당지지도,1,2020-01-16,2020-01-17,2020-01-19,전남,목포시,전남목포시,"남도일보,뉴스1광주전남취재본부",유무선혼합,사용,ARS,552,2.9,알앤써치,3,100,34.6,,,21.2,,,,,,,,,19.2,,,,,18.1,6.9,,"김원이, 박지원, 윤소하",https://www.nesdc.go.kr/files/result/202003/FILE_202001220443294060.pdf.htm,가상대결1
6448,전라남도 목포시 국회의원선거,1,2020-01-18,2020-01-19,2020-01-20,전남,목포시,전남목포시,"광주일보, kbc광주방송",유무선혼합,사용,ARS,510,6.8,리얼미터,2,100,37.1,,,,,,,,,,,,33.1,,,,,17.9,11.9,,"김원이, 박지원",https://www.nesdc.go.kr/files/result/202003/FILE_202001280600182810.pdf.htm,가상대결A
