조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-04-01,2016-04-02,2016-04-02,서울,노원구병,서울노원구병,0.3,0.139,0.393,0.018,0,0,0,0.352941176,0.153941368,0.428159357,0.018886893,0,0,0,0.15,리서치앤리서치,MBC,유선RDD,전화면접,500,7.9,1.74,3
2016-03-20,2016-03-21,2016-03-21,서울,노원구병,서울노원구병,0.341,0.139,0.349,0.046,0,0,0,0.389714286,0.150479431,0.373184714,0.047947711,0,0,0,0.125,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.1,2.19,3
2016-04-03,2016-04-04,2016-04-05,서울,노원구병,서울노원구병,0.334,0.121,0.388,0.035,0,0,0,0.380410023,0.130894297,0.41528225,0.036398179,0,0,0,0.122,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.6,2.35,3
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0,0.192,0.207,0.071,0.306,0.024,0,0,0.24,0.244103774,0.080216583,0.34215927,0.025793149,0,0.2,포커스컴퍼니,문화일보,유선RDD,전화면접,500,8.9,1.96,3
2016-04-04,2016-04-05,2016-04-05,서울,은평구을,서울은평구을,0,0.273,0.249,0.098,0.222,0,0,0,0.324228029,0.278764204,0.106176408,0.238410091,0,0,0.158,조원씨앤아이,국민의당,유선/스마트폰앱혼합,ARS,501,3.4,1.8,2
2016-04-06,2016-04-06,2016-04-06,서울,은평구을,서울은평구을,0,0.2256,0.2969,0.0709,0.2572,0.0407,0,0,0.25311343,0.323134154,0.075022677,0.270973513,0.042266227,0,0.1087,윈스리서치,고연호 국회의원후보사무소,유선/스마트폰앱혼합,ARS,1109,1,2.46,2
2016-03-26,2016-03-27,2016-03-28,서울,은평구을,서울은평구을,0,0.197,0.16,0.063,0.344,0.017,0,0,0.252240717,0.191332468,0.072616352,0.39216154,0.018371406,0,0.219,TNS,SBS,유선RDD,전화면접,503,5.2,2.5,3
2016-03-31,2016-04-02,2016-04-03,서울,은평구을,서울은평구을,0,0.173,0.191,0.062,0.308,0.042,0,0,0.222938144,0.231252184,0.071577802,0.351691263,0.045679016,0,0.224,리얼미터,MBN,유선RDD,전화면접,508,8.7,2.27,3
2016-04-05,2016-04-06,2016-04-06,서울,은평구을,서울은평구을,0,0.182,0.187,0.098,0.275,0.042,0,0,0.232142857,0.224182223,0.112472374,0.310454719,0.045590123,0,0.216,리얼미터,MBN,유선RDD,전화면접,511,12.9,2.27,3
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0,0.16,0.196,0.054,0.331,0.028,0,0,0.208062419,0.239883754,0.062721691,0.380605072,0.030458854,0,0.231,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,11,2.27,3
2016-04-01,2016-04-02,2016-04-02,서울,서대문구갑,서울서대문구갑,0.399,0.364,0,0,0,0,0,0.52293578,0.410401754,0,0,0,0,0,0.237,포커스컴퍼니,문화일보,유선RDD,전화면접,500,7.5,2.33,3
2016-03-31,2016-04-01,2016-04-01,서울,서대문구갑,서울서대문구갑,0.383,0.418,0,0,0,0,0,0.47815231,0.466438568,0,0,0,0,0,0.199,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,17.4,1.35,3
2016-03-21,2016-03-22,2016-03-23,서울,서대문구갑,서울서대문구갑,0.392,0.337,0,0,0,0,0,0.537722908,0.385264861,0,0,0,0,0,0.271,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,6.1,2.24,3
2016-03-26,2016-03-27,2016-03-28,서울,서대문구을,서울서대문구을,0.389,0.33,0.074,0,0,0,0,0.490542245,0.368903763,0.079276144,0,0,0,0,0.207,코리아리서치센터,한국일보,유선RDD,전화면접,500,9,2.44,3
2016-03-26,2016-03-27,2016-03-27,서울,서대문구을,서울서대문구을,0.365,0.335,0.046,0,0,0,0,0.489276139,0.384935292,0.049988512,0,0,0,0,0.254,윈지코리아컨설팅,김영호 후보,유선RDD,전화면접,503,11,1.7,3
2016-03-29,2016-03-30,2016-03-31,서울,서대문구을,서울서대문구을,0.418,0.319,0.084,0,0,0,0,0.509135201,0.349728856,0.089090256,0,0,0,0,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,511,15.9,1.24,3
2016-03-26,2016-03-26,2016-03-26,서울,서대문구을,서울서대문구을,0.339,0.243,0.051,0,0,0,0,0.535545024,0.292931659,0.05798903,0,0,0,0,0.367,리얼미터,MBN,유선RDD,전화면접,508,11.9,2.34,3
2016-03-24,2016-03-24,2016-03-24,서울,마포구갑,서울마포구갑,0.275,0.419,0.044,0,0.105,0,0,0.326215896,0.468566933,0.046620895,0,0.110946309,0,0,0.157,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,12.2,1.53,3
2016-04-05,2016-04-06,2016-04-06,서울,마포구갑,서울마포구갑,0.301,0.335,0.104,0,0.087,0,0,0.363966143,0.376418814,0.11166167,0,0.092647157,0,0,0.173,리얼미터,서울경제,유선RDD,전화면접/ARS,514,4.5,2.06,3
2016-03-24,2016-03-25,2016-03-25,서울,마포구갑,서울마포구갑,0.281,0.357,0.03,0,0.103,0,0,0.364461738,0.417806888,0.032777262,0,0.112194827,0,0,0.229,리서치앤리서치,동아일보,유선RDD,전화면접,502,6.5,2.21,3
2016-04-01,2016-04-02,2016-04-03,서울,마포구갑,서울마포구갑,0.313,0.371,0.067,0,0.116,0,0,0.361014994,0.405457837,0.070565474,0,0.121715989,0,0,0.133,조원씨앤아이,"국민일보, CBS",유선/스마트폰앱혼합,ARS,500,1.8,1.49,3
2016-04-03,2016-04-04,2016-04-05,서울,마포구갑,서울마포구갑,0.27,0.474,0.062,0,0.068,0,0,0.308924485,0.519210524,0.064709044,0,0.07077111,0,0,0.126,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,501,12.3,1.44,3
2016-03-22,2016-03-23,2016-03-24,서울,마포구갑,서울마포구갑,0.277,0.324,0.044,0,0.137,0,0,0.354219949,0.377086217,0.048229423,0,0.14947592,0,0,0.218,리얼미터,MBN,유선RDD,전화면접,510,8,2.35,3
2016-03-21,2016-03-22,2016-03-22,서울,마포구갑,서울마포구갑,0.299,0.403,0.038,0,0.146,0,0,0.337471783,0.435924608,0.039690979,0,0.15222805,0,0,0.114,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,7.7,2.29,2
2016-04-02,2016-04-03,2016-04-03,서울,마포구을,서울마포구을,0.307,0.299,0.087,0.051,0.039,0,0,0.392081737,0.344437611,0.095236078,0.05532921,0.042112782,0,0,0.217,마크로밀엠브레인,중앙일보,유무선혼합RDD,전화면접,600,17.1,1.55,2
2016-04-01,2016-04-02,2016-04-02,서울,마포구을,서울마포구을,0.299,0.229,0.103,0.039,0.068,0,0,0.405149051,0.271279106,0.11619667,0.043351405,0.075223217,0,0,0.262,밀워드브라운,조선일보,유선RDD,전화면접,518,12.7,1.5,3
2016-03-31,2016-04-01,2016-04-02,서울,마포구을,서울마포구을,0.357,0.262,0.109,0.042,0.11,0,0,0.405681818,0.282120307,0.114881699,0.043993623,0.114981283,0,0,0.12,리얼미터,서울경제,유선RDD,전화면접/ARS,515,4.2,2.48,3
