"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd","win_prob"
"44",2016-03-25,"세종세종특별자치시","민주당",12.2561808482868,8.04378637399581,16.7067735871852,12.2539426522284,1.03949477045984,0
"45",2016-03-26,"세종세종특별자치시","민주당",12.9582534001245,9.42309891249308,16.3832215722509,12.9757744316149,0.961437212022445,0
"46",2016-03-27,"세종세종특별자치시","민주당",12.5630725300154,8.48797569577484,16.8754844435616,12.5713071334848,1.02093950352836,0
"47",2016-03-28,"세종세종특별자치시","민주당",12.2059913658765,8.56562916481032,15.9527872796633,12.2080998905476,1.00696772378774,0
"48",2016-03-29,"세종세종특별자치시","민주당",11.8265440481816,8.60003436953232,14.857631973412,11.823505798673,0.812263393032573,0
"49",2016-03-30,"세종세종특별자치시","민주당",10.853618498584,7.99856950488841,13.8526196830671,10.8412261114089,0.769782942070225,0
"50",2016-03-31,"세종세종특별자치시","민주당",9.25113185605282,6.46154038270552,11.4619386861629,9.25621306331382,0.6096604635726,0
"51",2016-04-01,"세종세종특별자치시","민주당",10.2519902521657,7.44259402308334,13.4000772385567,10.2410978923543,0.715527104658968,0
"52",2016-04-02,"세종세종특별자치시","민주당",10.2162770905832,7.7835599590491,13.1745831198051,10.2227533946547,0.733736743481691,0
"53",2016-04-03,"세종세종특별자치시","민주당",10.025797636211,7.39569720114007,12.7055671207551,10.030499088707,0.658887142058553,0
"54",2016-04-04,"세종세종특별자치시","민주당",9.53535011461521,6.80537026210088,12.7206771242413,9.52675439750209,0.756397750016507,0
"55",2016-04-05,"세종세종특별자치시","민주당",9.29241203921398,6.21408641304164,12.8579486820938,9.29734589170963,0.863696776366057,0
"56",2016-04-06,"세종세종특별자치시","민주당",9.05656583106497,6.09398124936655,11.5977538435847,9.06663734875683,0.753333901493508,0
"57",2016-03-10,"세종세종특별자치시","국민의당",6.64546045111108,6.28235630434386,6.97470873823424,6.64656123949484,0.0923107410508842,0
"58",2016-03-11,"세종세종특별자치시","국민의당",6.63893219796264,3.24992674789158,9.92409469732729,6.63721640217267,0.857227446483978,0
"59",2016-03-12,"세종세종특별자치시","국민의당",6.64125626798713,2.2103858186545,11.1675654087684,6.63410784067094,1.16579451626456,0
"60",2016-03-13,"세종세종특별자치시","국민의당",6.69436970361432,0.727276550278438,11.681119640175,6.66588759542383,1.33023571990746,0
"61",2016-03-14,"세종세종특별자치시","국민의당",6.70486416256461,1.69411537831484,13.1596973876558,6.68990603225823,1.45064969545277,0
"62",2016-03-15,"세종세종특별자치시","국민의당",6.68871834399945,1.28330933574383,12.7605445300501,6.68957129059721,1.48194437074748,0
"63",2016-03-16,"세종세종특별자치시","국민의당",6.73463333667798,0.161642224201046,12.217523712194,6.73022749777247,1.52836270786701,0
"64",2016-03-17,"세종세종특별자치시","국민의당",6.75561369401747,0.573852897203091,13.1186752729169,6.75347296823458,1.56811799846133,0
"65",2016-03-18,"세종세종특별자치시","국민의당",6.74539793260246,0.910540330208352,12.4854459402549,6.7492645978308,1.56346152641233,0
"66",2016-03-19,"세종세종특별자치시","국민의당",6.73013290756134,0.206369658426818,13.9525062855023,6.72289368187948,1.59580243434684,0
"67",2016-03-20,"세종세종특별자치시","국민의당",6.7250464502797,0.80522197910844,12.9501999056167,6.7039081497382,1.55953811127744,0
"68",2016-03-21,"세종세종특별자치시","국민의당",6.72007093730465,1.30603230441144,12.2344977721021,6.72098920909405,1.49352119839473,0
"69",2016-03-22,"세종세종특별자치시","국민의당",6.70763768770878,1.41835518499023,12.6303879640957,6.71527451341764,1.38728016985258,0
"70",2016-03-23,"세종세종특별자치시","국민의당",6.71616413742207,1.5722122726503,11.9053705956071,6.72630823492682,1.21020060521448,0
"71",2016-03-24,"세종세종특별자치시","국민의당",6.72179055012486,3.6259393792766,10.190670819805,6.73754150859842,0.894134159721334,0
"72",2016-03-25,"세종세종특별자치시","국민의당",6.80935991746504,3.24831407904564,10.9868064698979,6.81891490079745,0.94325701885821,0
"73",2016-03-26,"세종세종특별자치시","국민의당",6.90911115588156,3.58910446164397,9.82782315600565,6.903188537143,0.815516912618979,0
"74",2016-03-27,"세종세종특별자치시","국민의당",6.96752133545067,3.48896892253563,10.1612462869169,6.97549537587548,0.946453035841564,0
"75",2016-03-28,"세종세종특별자치시","국민의당",7.12376906560022,3.42810990972354,11.2540297554128,7.11284940678539,0.948854249371993,0
"76",2016-03-29,"세종세종특별자치시","국민의당",7.17000829814715,4.2125296111432,9.80838340761159,7.16439237423581,0.733585872410092,0
"77",2016-03-30,"세종세종특별자치시","국민의당",6.64489577089014,3.90980751406195,8.95952397361464,6.64399798022534,0.653643428622666,0
"78",2016-03-31,"세종세종특별자치시","국민의당",6.20532466914764,3.99383680656292,8.21518013730186,6.19930848658337,0.564657172521476,0
"79",2016-04-01,"세종세종특별자치시","국민의당",6.56781952419341,3.97655970421909,9.04168112499126,6.56893816336836,0.657019029868942,0
"80",2016-04-02,"세종세종특별자치시","국민의당",5.50431503547327,3.18956999675539,8.10442109197891,5.51466815324037,0.586258470182788,0
"81",2016-04-03,"세종세종특별자치시","국민의당",6.42112214070296,4.35136908514475,8.57778405193046,6.42113925729538,0.561215588077454,0
"82",2016-04-04,"세종세종특별자치시","국민의당",6.03187124991932,3.78230092780448,8.52820447645573,6.03464748890178,0.660525960302899,0
"83",2016-04-05,"세종세종특별자치시","국민의당",5.8583168103651,2.83202046517036,9.2329509104592,5.87124161315123,0.846814609309517,0
"84",2016-04-06,"세종세종특별자치시","국민의당",5.71860389663942,2.71296302983669,8.41844323216326,5.72639524994838,0.733505998012014,0
