조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-03-30,2016-03-31,2016-03-31,전북,군산시,전북군산시,0.078,0.255,0.466,0.076,0.069,0.000,0.000,0.083,0.270,0.494,0.081,0.073,0.000,0.000,0.056,여민리서치컨설팅,뉴스1전북취재본부,유선RDD,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-28,전북,군산시,전북군산시,0.063,0.249,0.395,0.051,0.096,0.000,0.000,0.074,0.292,0.463,0.060,0.112,0.000,0.000,0.146,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,군산시,전북군산시,0.087,0.315,0.366,0.057,0.071,0.000,0.000,0.097,0.352,0.408,0.064,0.079,0.000,0.000,0.104,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,군산시,전북군산시,0.087,0.315,0.366,0.057,0.071,0.000,0.000,0.097,0.352,0.408,0.064,0.079,0.000,0.000,0.104,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-28,전북,익산시갑,전북익산시갑,0.111,0.432,0.298,0.000,0.017,0.000,0.000,0.129,0.503,0.347,0.000,0.020,0.000,0.000,0.142,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-03-31,2016-03-31,전북,익산시갑,전북익산시갑,0.114,0.406,0.388,0.000,0.017,0.000,0.000,0.123,0.439,0.419,0.000,0.018,0.000,0.000,0.075,"
여민리서치컨설팅","뉴스1전북취재본부,익산신문",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전북,익산시갑,전북익산시갑,0.120,0.329,0.394,0.000,0.017,0.000,0.000,0.140,0.383,0.458,0.000,0.020,0.000,0.000,0.140,유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-28,전북,익산시을,전북익산시을,0.081,0.245,0.464,0.045,0.025,0.006,0.000,0.094,0.283,0.536,0.052,0.029,0.007,0.000,0.134,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-03-29,2016-03-30,2016-03-31,전북,익산시을,전북익산시을,0.068,0.247,0.443,0.034,0.023,0.012,0.000,0.082,0.299,0.536,0.041,0.028,0.015,0.000,0.173,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,502,11.8,1.68,3
2016-03-30,2016-03-31,2016-03-31,전북,익산시을,전북익산시을,0.112,0.297,0.470,0.029,0.020,0.016,0.000,0.119,0.315,0.498,0.031,0.021,0.017,0.000,0.056,"
여민리서치컨설팅","뉴스1전북취재본부,익산신문",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-03,전북,익산시을,전북익산시을,0.116,0.281,0.441,0.036,0.014,0.011,0.000,0.129,0.313,0.491,0.040,0.016,0.012,0.000,0.101,유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-28,전북,정읍시고창군,전북정읍시고창군,0.000,0.160,0.389,0.000,0.197,0.038,0.000,0.000,0.204,0.496,0.000,0.251,0.048,0.000,0.216,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전북,정읍시고창군,전북정읍시고창군,0.000,0.202,0.438,0.000,0.248,0.045,0.000,0.000,0.217,0.469,0.000,0.266,0.048,0.000,0.067,여민리서치컨설팅,뉴스2전북취재본부,유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-03,2016-04-04,전북,정읍시고창군,전북정읍시고창군,0.000,0.186,0.400,0.000,0.240,0.029,0.000,0.000,0.218,0.468,0.000,0.281,0.034,0.000,0.145,㈜유앤미리서치,전북중앙신문,유선/스마트폰앱혼합,전화면접,502,11.8,1.68,3
2016-03-27,2016-03-28,2016-03-29,전북,남원시임실군순창군,전북남원시임실군순창군,0.086,0.157,0.214,0.000,0.249,0.000,0.011,0.120,0.219,0.298,0.000,0.347,0.000,0.015,0.283,코리아리서치센터,"전주MBC,JTV전주방송,전북도민일보",유선RDD,전화면접,502,11.8,1.68,3
2016-04-01,2016-04-02,2016-04-02,전북,남원시임실군순창군,전북남원시임실군순창군,0.081,0.210,0.391,0.000,0.199,0.020,0.011,0.089,0.230,0.429,0.000,0.218,0.022,0.012,0.088,여민리서치컨설팅,뉴스1전북취재본부,유선RDD,전화면접,502,11.8,1.68,3
