"","date","region","party","mean_rate","lower_rate","upper_rate","mu","sd"
"mu[2]2",2016-03-11,"세종세종특별자치시","국민의당",6.73130477681525,3.9113006775807,9.65638348417033,6.74026462356998,0.753247198178055
"mu[3]2",2016-03-12,"세종세종특별자치시","국민의당",6.80984383291751,2.38924155871362,10.7415475883541,6.80785741409518,1.04342293042512
"mu[4]2",2016-03-13,"세종세종특별자치시","국민의당",6.85862310835816,1.55371688386925,12.0047253331054,6.84650421110735,1.2421826338633
"mu[5]2",2016-03-14,"세종세종특별자치시","국민의당",6.81661379483587,1.77344891857549,12.2413262651949,6.84779851753517,1.40600535197278
"mu[6]2",2016-03-15,"세종세종특별자치시","국민의당",6.86418970544378,0.676936185973545,12.0840770230803,6.85217622057679,1.51075089719476
"mu[7]2",2016-03-16,"세종세종특별자치시","국민의당",6.8368649606136,0.491420236127018,13.3501600609006,6.81721125295877,1.57211063897511
"mu[8]2",2016-03-17,"세종세종특별자치시","국민의당",6.76276924354191,0.900256547108191,12.2992241898712,6.76899789469561,1.57400212845925
"mu[9]2",2016-03-18,"세종세종특별자치시","국민의당",6.7342069599714,0.949612954649814,12.9524561698818,6.72516240592004,1.57704622752352
"mu[10]2",2016-03-19,"세종세종특별자치시","국민의당",6.70160830283295,-0.267093445327403,13.0741429653982,6.71202605100825,1.55476685920046
"mu[11]2",2016-03-20,"세종세종특별자치시","국민의당",6.71281728819626,0.692248450962031,12.4201355427335,6.71986100389383,1.51901948416725
"mu[12]2",2016-03-21,"세종세종특별자치시","국민의당",6.75138487803599,1.37767746404324,12.006965108725,6.73017680631833,1.44356869723031
"mu[13]2",2016-03-22,"세종세종특별자치시","국민의당",6.67093973707666,1.85450725924898,11.4571829249576,6.6594049859555,1.34346612485076
"mu[14]2",2016-03-23,"세종세종특별자치시","국민의당",6.69058654867589,2.24900485511365,11.0275588323626,6.69698151731918,1.17007539648823
"mu[15]2",2016-03-24,"세종세종특별자치시","국민의당",6.68515805645674,3.61421968387202,10.2213582984538,6.67932352301619,0.865882810597494
"mu[16]2",2016-03-25,"세종세종특별자치시","국민의당",6.78494892954922,3.20717217127232,10.6672376701998,6.78012614088453,0.935498740031786
"mu[17]2",2016-03-26,"세종세종특별자치시","국민의당",6.84748130976843,3.6614125135799,9.81766026206004,6.84674739007292,0.832616390418832
"mu[18]2",2016-03-27,"세종세종특별자치시","국민의당",6.95753889265344,3.33800962321196,10.963682723072,6.95151601660485,0.961178756197159
"mu[19]2",2016-03-28,"세종세종특별자치시","국민의당",7.05394297317132,3.34281882914454,10.8505046782872,7.05502803583905,0.912213085119158
"mu[20]2",2016-03-29,"세종세종특별자치시","국민의당",7.14629797940895,4.09644455533091,10.3677578602232,7.13942951297919,0.738665451946954
"mu[21]2",2016-03-30,"세종세종특별자치시","국민의당",6.60860726499886,4.23656256336231,9.6459543151143,6.60900389338699,0.644450269033119
"mu[22]2",2016-03-31,"세종세종특별자치시","국민의당",6.20908520042145,4.09012937064093,8.42656718371387,6.20450048385918,0.541045057429028
"mu[23]2",2016-04-01,"세종세종특별자치시","국민의당",6.59561465569198,4.04175255762874,8.78209638037288,6.58355147516188,0.638843160461805
"mu[24]2",2016-04-02,"세종세종특별자치시","국민의당",5.50736652536334,3.21598575137257,7.57803299475413,5.51167076716199,0.569931122210315
"mu[25]2",2016-04-03,"세종세종특별자치시","국민의당",6.40039190617023,3.91233956154698,8.83553604372118,6.3955799157112,0.577531488215282
"mu[26]2",2016-04-04,"세종세종특별자치시","국민의당",5.9991883232669,3.10852914901164,8.57676981355899,6.00037745993991,0.683004024060727
"mu[27]2",2016-04-05,"세종세종특별자치시","국민의당",5.89159406082721,2.83122386641171,9.23427052329401,5.87959000009389,0.824200542138765
"mu[28]2",2016-04-06,"세종세종특별자치시","국민의당",5.7567714740139,2.94638585551726,8.7768291327564,5.75604594576812,0.75376398389242
"mu[1]3",2016-03-10,"세종세종특별자치시","무소속1",39.0759212034951,38.7859010972064,39.3801214908739,39.0754107491342,0.0810968433794585
"mu[2]3",2016-03-11,"세종세종특별자치시","무소속1",39.0019837169934,35.4196623719125,42.2882464647476,39.0071362254448,0.816802967844899
"mu[3]3",2016-03-12,"세종세종특별자치시","무소속1",38.9412545931242,35.076583444513,43.4706623337867,38.9258611574787,1.14184231403258
"mu[4]3",2016-03-13,"세종세종특별자치시","무소속1",38.8532289624128,33.5142579316012,43.4447683578616,38.8386722796289,1.32099662350765
"mu[5]3",2016-03-14,"세종세종특별자치시","무소속1",38.7508844944156,33.2953773818697,43.868764605454,38.7361740112261,1.44448149810886
"mu[6]3",2016-03-15,"세종세종특별자치시","무소속1",38.5481773610635,32.2731479386579,44.1563902436469,38.5464642507513,1.57106288758409
"mu[7]3",2016-03-16,"세종세종특별자치시","무소속1",38.384530734242,31.9954727175716,44.4688203694666,38.376089095978,1.65397264400743
"mu[8]3",2016-03-17,"세종세종특별자치시","무소속1",38.2644707902145,31.6600244406645,44.3792986642492,38.2474224682953,1.69157256103667
"mu[9]3",2016-03-18,"세종세종특별자치시","무소속1",38.1340302657668,31.0156796626182,44.6487453823397,38.1294485170725,1.70508219023784
"mu[10]3",2016-03-19,"세종세종특별자치시","무소속1",37.9881604986161,31.1532043390965,44.3380576285482,37.9846800701466,1.68916824541385
"mu[11]3",2016-03-20,"세종세종특별자치시","무소속1",37.7970733360673,32.0692952244222,44.2996879860625,37.8040916282288,1.64744915483083
"mu[12]3",2016-03-21,"세종세종특별자치시","무소속1",37.6983528827475,31.4099126202946,43.9730764492668,37.6876426768713,1.58991408569435
"mu[13]3",2016-03-22,"세종세종특별자치시","무소속1",37.5410438184768,32.0017976803656,43.6633538493215,37.5478727616911,1.50072661521052
"mu[14]3",2016-03-23,"세종세종특별자치시","무소속1",37.423050130508,31.4363327905106,42.270772537087,37.4202205290773,1.41203939704757
"mu[15]3",2016-03-24,"세종세종특별자치시","무소속1",37.3404643195956,32.5242865335754,41.7151022038761,37.3337413760167,1.25034678034863
"mu[16]3",2016-03-25,"세종세종특별자치시","무소속1",36.9388554569045,32.2812862382265,41.8764580517033,36.9488198518195,1.21330315167097
"mu[17]3",2016-03-26,"세종세종특별자치시","무소속1",36.5922972000252,31.7358333336499,41.3593031992816,36.5938540224205,1.16464158910852
"mu[18]3",2016-03-27,"세종세종특별자치시","무소속1",36.8923033187136,32.032507784942,41.3039003816585,36.8766429290642,1.22361796027874
"mu[19]3",2016-03-28,"세종세종특별자치시","무소속1",37.1704198313312,32.8209253846391,42.2053802465115,37.1510537725706,1.20366710550543
"mu[20]3",2016-03-29,"세종세종특별자치시","무소속1",37.457020782576,33.6222948949704,41.4264472147832,37.4590975078159,1.06018058643948
"mu[21]3",2016-03-30,"세종세종특별자치시","무소속1",37.737291439118,34.4839429623044,40.8710626609729,37.7368497120939,0.939595288258723
"mu[22]3",2016-03-31,"세종세종특별자치시","무소속1",38.1192860639919,34.8072614420309,41.5232323051468,38.1234458537356,0.896821151715367
"mu[23]3",2016-04-01,"세종세종특별자치시","무소속1",38.0320101733631,34.7427088299901,41.524689812428,38.0488528358378,0.908903462009689
"mu[24]3",2016-04-02,"세종세종특별자치시","무소속1",38.2969080772084,35.0946729396002,42.0120048389336,38.2943482510459,0.938595099094476
"mu[25]3",2016-04-03,"세종세종특별자치시","무소속1",38.4896695837363,35.0386051561787,41.5799515418247,38.4810864715469,0.899152693454854
"mu[26]3",2016-04-04,"세종세종특별자치시","무소속1",39.7208245266369,35.8697209032427,42.9865279091996,39.7190019687524,0.927152011224401
"mu[27]3",2016-04-05,"세종세종특별자치시","무소속1",40.6096509467399,36.5693559514906,43.8380088066158,40.5992067843556,0.963125967682862
"mu[28]3",2016-04-06,"세종세종특별자치시","무소속1",41.4660622094413,38.4235043786433,44.4381426065374,41.4677628996145,0.769677937627531
"mu[1]4",2016-03-10,"서울강서구을","새누리당",52.2616250353854,51.8932007330612,52.6826977654796,52.2600345459639,0.0897694535430793
"mu[2]4",2016-03-11,"서울강서구을","새누리당",52.2546007605298,49.1283295928106,55.731816013963,52.2461326109773,0.842972389283622
"mu[3]4",2016-03-12,"서울강서구을","새누리당",52.1962344472213,47.8547579655734,57.7540348174065,52.2267097557357,1.16411918723057
"mu[4]4",2016-03-13,"서울강서구을","새누리당",52.2156321662015,46.1386967515746,57.3390756777896,52.2105735921847,1.41698870359615
"mu[5]4",2016-03-14,"서울강서구을","새누리당",52.1815459670803,46.5319687803916,58.338918837196,52.1844549155739,1.59085572589292
"mu[6]4",2016-03-15,"서울강서구을","새누리당",52.1941824147946,45.617990389341,58.6498429252887,52.2338320870386,1.72845659960844
"mu[7]4",2016-03-16,"서울강서구을","새누리당",52.2297888599933,45.4104120043299,59.6878899914323,52.2479434298589,1.86950535411936
"mu[8]4",2016-03-17,"서울강서구을","새누리당",52.188748773675,45.2191218579902,60.2842283558408,52.2497176012578,1.92190690000387
"mu[9]4",2016-03-18,"서울강서구을","새누리당",52.2667262696476,45.012618252116,59.8833523295289,52.2678035980413,2.00871680845277
"mu[10]4",2016-03-19,"서울강서구을","새누리당",52.3228173019055,44.0032762033475,60.413641249776,52.3070047301658,2.03853107680195
"mu[11]4",2016-03-20,"서울강서구을","새누리당",52.3332828485349,43.8134941683363,60.2332200258155,52.3249535920855,2.03802795975179
"mu[12]4",2016-03-21,"서울강서구을","새누리당",52.3361979749554,44.6369965156015,61.8921080752294,52.3529938132677,2.06338778462956
"mu[13]4",2016-03-22,"서울강서구을","새누리당",52.3384008219615,44.0348764917199,61.9751290904015,52.3580237011458,2.108728488587
"mu[14]4",2016-03-23,"서울강서구을","새누리당",52.3654946310728,45.1983696503116,59.5142720842392,52.3569119320187,2.07173216948821
"mu[15]4",2016-03-24,"서울강서구을","새누리당",52.3868969339437,44.5989793086228,60.7566798529181,52.4001847144857,2.04409265883096
"mu[16]4",2016-03-25,"서울강서구을","새누리당",52.4176033412271,45.1966816525225,60.8332610470986,52.4410409199056,2.01278724458002
"mu[17]4",2016-03-26,"서울강서구을","새누리당",52.4671627624547,45.2695933613447,60.722261735895,52.4894157587713,1.9697851536168
"mu[18]4",2016-03-27,"서울강서구을","새누리당",52.4773978022657,45.725687434844,61.3219808559762,52.4846887976762,1.92172398027164
"mu[19]4",2016-03-28,"서울강서구을","새누리당",52.5046408369411,45.3760659356699,59.5244252409274,52.5083715684005,1.85870334147315
"mu[20]4",2016-03-29,"서울강서구을","새누리당",52.4908220445241,45.483991965693,58.5983742262054,52.5104484710113,1.7484097816402
"mu[21]4",2016-03-30,"서울강서구을","새누리당",52.5384025433702,46.262800250607,58.0011003605468,52.5627550589911,1.67112875584368
"mu[22]4",2016-03-31,"서울강서구을","새누리당",52.5443116303079,47.3418757562946,58.4798375409052,52.55281475974,1.49690094463816
"mu[23]4",2016-04-01,"서울강서구을","새누리당",52.5573335917952,47.6586968529671,57.7009572049612,52.5549068745032,1.29808404809289
"mu[24]4",2016-04-02,"서울강서구을","새누리당",52.6540323103191,48.0505124716144,57.4733571461156,52.6740181698627,1.23362036864623
"mu[25]4",2016-04-03,"서울강서구을","새누리당",52.7490645956524,47.9005991173052,57.5765233359691,52.7432054060594,1.26777497028891
"mu[26]4",2016-04-04,"서울강서구을","새누리당",52.7879798774347,48.444906870864,57.460728732148,52.7837138043593,1.25932166360432
"mu[27]4",2016-04-05,"서울강서구을","새누리당",52.8697729604206,48.8670081333711,56.4974012540238,52.8769462334527,1.13425655573794
"mu[28]4",2016-04-06,"서울강서구을","새누리당",52.9304976328181,49.7526472791246,55.9342266926876,52.9221026795032,0.833470916818101
"mu[1]5",2016-03-10,"서울강서구을","민주당",34.2826859535556,33.9435274488606,34.6179479528267,34.2822093049726,0.0888688583309986
"mu[2]5",2016-03-11,"서울강서구을","민주당",34.3708174136832,31.0982381399946,37.3788214753715,34.35645221634,0.837659604249891
"mu[3]5",2016-03-12,"서울강서구을","민주당",34.3797072225044,29.6105502817473,38.9072727876697,34.3962102691438,1.14986310837982
"mu[4]5",2016-03-13,"서울강서구을","민주당",34.4317618210732,29.3227118653517,40.1236815537689,34.428462273151,1.39383363927105
"mu[5]5",2016-03-14,"서울강서구을","민주당",34.4500403736117,28.5658752737753,40.5080452226558,34.4269400533197,1.5659269456258
"mu[6]5",2016-03-15,"서울강서구을","민주당",34.5215073909076,28.490174761427,42.3127594941099,34.498041950969,1.6713355368153
"mu[7]5",2016-03-16,"서울강서구을","민주당",34.4985350434188,27.7935476940418,40.7431599800675,34.5174716083332,1.80358910158905
"mu[8]5",2016-03-17,"서울강서구을","민주당",34.5650315350187,26.6416313351962,43.1348429821634,34.565652588188,1.89317380909805
"mu[9]5",2016-03-18,"서울강서구을","민주당",34.5778558149118,27.0489677947162,41.5930683031126,34.5983739414476,1.9969592223388
"mu[10]5",2016-03-19,"서울강서구을","민주당",34.6398575925792,26.4211996683017,42.8368830830001,34.6765138774263,2.04126207328366
"mu[11]5",2016-03-20,"서울강서구을","민주당",34.7108966674416,25.7920953003455,42.2816623086634,34.6917007922895,2.07938355154058
"mu[12]5",2016-03-21,"서울강서구을","민주당",34.7157805659645,27.1045052981496,42.5178030517248,34.721609185797,2.12106517380112
"mu[13]5",2016-03-22,"서울강서구을","민주당",34.7092405930587,26.3901707794093,42.4560565787439,34.7346741322781,2.10917536239801
"mu[14]5",2016-03-23,"서울강서구을","민주당",34.7611917154228,25.8816245419719,43.1375607748088,34.7826708830921,2.15853450977066
"mu[15]5",2016-03-24,"서울강서구을","민주당",34.7658907033889,25.3812520065962,42.1115527138906,34.7728878501505,2.14829511830806
"mu[16]5",2016-03-25,"서울강서구을","민주당",34.7656842212174,26.8576720640593,43.3451318800418,34.7437579937349,2.11347244890992
"mu[17]5",2016-03-26,"서울강서구을","민주당",34.8496166641394,27.2972391924143,42.3379033261864,34.8065023492384,2.06353468447385
"mu[18]5",2016-03-27,"서울강서구을","민주당",34.8206836058595,27.5389635867749,42.0227687109326,34.7948624816175,1.96528002662696
"mu[19]5",2016-03-28,"서울강서구을","민주당",34.7629044368785,27.7857322613577,41.7868817276013,34.7891702132435,1.88350187466497
"mu[20]5",2016-03-29,"서울강서구을","민주당",34.8195832202184,26.3230659640828,40.87767349093,34.8213407403094,1.8008735995105
"mu[21]5",2016-03-30,"서울강서구을","민주당",34.8586678569921,28.3276053775106,40.6019063374103,34.8504937418599,1.64754020387735
