조사시작,중간날짜,조사끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리당_1,더불어민주당_1,국민의당_1,정의당_1,무소속1_1,무소속2_1,무소속3_1,DK,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0.000,0.192,0.207,0.071,0.306,0.024,0.000,0.000,0.240,0.259,0.089,0.383,0.030,0.000,0.200,포커스컴퍼니,문화일보,유선RDD,전화면접,500,7.9,1.74,3
2016-04-01,2016-04-02,2016-04-02,서울,은평구을,서울은평구을,0.000,0.160,0.196,0.054,0.331,0.028,0.000,0.000,0.208,0.255,0.070,0.430,0.036,0.000,0.231,코리아리서치센터,"KBS,연합뉴스",유선RDD,전화면접,500,10.1,2.19,3
2016-04-04,2016-04-05,2016-04-05,서울,은평구을,서울은평구을,0.000,0.273,0.249,0.098,0.222,0.000,0.000,0.000,0.324,0.296,0.116,0.264,0.000,0.000,0.158,조원씨앤아이,국민의당,유선/스마트폰앱혼합,전화면접,500,10.6,2.35,3
2016-03-31,2016-04-01,2016-04-01,서울,서대문구갑,서울서대문구갑,0.383,0.418,0.000,0.000,0.000,0.000,0.000,0.478,0.522,0.000,0.000,0.000,0.000,0.000,0.199,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,500,8.9,1.96,3
2016-03-21,2016-03-22,2016-03-23,서울,서대문구갑,서울서대문구갑,0.392,0.337,0.000,0.000,0.000,0.000,0.000,0.538,0.462,0.000,0.000,0.000,0.000,0.000,0.271,(주)코리아리서치센터,"KBS,연합뉴스 ",유선RDD,ARS,501,3.4,1.8,2
2016-04-01,2016-04-02,2016-04-02,서울,서대문구갑,서울서대문구갑,0.399,0.364,0.000,0.000,0.000,0.000,0.000,0.523,0.477,0.000,0.000,0.000,0.000,0.000,0.237,포커스컴퍼니,문화일보,유선RDD,ARS,1109,1,2.46,2
2016-03-29,2016-03-30,2016-03-31,서울,서대문구을,서울서대문구을,0.418,0.319,0.084,0.000,0.000,0.000,0.000,0.509,0.389,0.102,0.000,0.000,0.000,0.000,0.179,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,503,5.2,2.5,3
2016-03-26,2016-03-27,2016-03-28,서울,서대문구을,서울서대문구을,0.389,0.330,0.074,0.000,0.000,0.000,0.000,0.491,0.416,0.093,0.000,0.000,0.000,0.000,0.207,코리아리서치센터,한국일보,유선RDD,전화면접,508,8.7,2.27,3
2016-03-26,2016-03-27,2016-03-27,서울,서대문구을,서울서대문구을,0.365,0.335,0.046,0.000,0.000,0.000,0.000,0.489,0.449,0.062,0.000,0.000,0.000,0.000,0.254,윈지코리아컨설팅,김영호후보,유선RDD,전화면접,511,12.9,2.27,3
2016-03-26,2016-03-26,2016-03-26,서울,서대문구을,서울서대문구을,0.339,0.243,0.051,0.000,0.000,0.000,0.000,0.536,0.384,0.081,0.000,0.000,0.000,0.000,0.367,리얼미터,MBN,유선RDD,전화면접,500,11,2.27,3
