조사 시작,중간 날짜,조사 끝,광역,선거구,,새누리당,더불어민주당,국민의당,정의당,무소속1,무소속2,무소속3,새누리1,민주1,국민1,정의1,무속1,무속2,무속3,무응답,조사 기관,언론사,조사방법,ARS/전화면접,"응답자수(N, 응답완료사례수)",응답률,가중치,나이
2016/04/04,2016/04/05,2016/04/06,울산,북구,울산북구,0.337,0,0,0,0.477,0,0,0.414004914,0,0,0,0.585995086,0,0,0.186,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,506,13.5,2.47,3
2016/04/04,2016/04/05,2016/04/06,울산,울주군,울산울주군,0.227,0.117,0.042,0,0.385,0,0,0.294422827,0.151750973,0.054474708,0,0.499351492,0,0,0.229,한국갤럽조사연구소,"ubc울산방송, 울산mbc",유선RDD,전화면접,504,15.4,2.15,3
2016/04/05,2016/04/06,2016/04/06,세종,세종특별자치시,세종세종특별자치시,0.352,0.072,0.046,0,0.345,0,0,0.43190184,0.088343558,0.056441718,0,0.423312883,0,0,0.185,밀워드브라운,조선일보,유선RDD,전화면접,509,12.4,1.6,2
2016/04/05,2016/04/06,2016/04/06,경기,의정부시갑,경기의정부시갑,0.314,0.415,0.133,0,0,0,0,0.364269142,0.481438515,0.154292343,0,0,0,0,0.138,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,511,14.8,1.43,3
2016/04/05,2016/04/06,2016/04/06,경기,안산시단원구을,경기안산시단원구을,0.343,0.211,0.28,0.041,0,0,0,0.392,0.241142857,0.32,0.046857143,0,0,0,0.125,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,506,10.7,1.66,3
2016/04/05,2016/04/06,2016/04/06,경기,고양시갑,경기고양시갑,0.343,0.087,0,0.437,0,0,0,0.39561707,0.100346021,0,0.504036909,0,0,0,0.133,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,505,14.1,1.5,3
2016/04/05,2016/04/06,2016/04/06,경기,고양시정,경기고양시정,0.351,0.396,0.13,0,0,0,0,0.40022805,0.451539339,0.148232611,0,0,0,0,0.123,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,504,13.4,1.35,4
2016/04/05,2016/04/06,2016/04/06,경기,의왕시과천시,경기의왕시과천시,0.345,0.339,0.072,0.048,0,0,0,0.429104478,0.421641791,0.089552239,0.059701493,0,0,0,0.196,마크로밀엠브레인,YTN,유무선혼합RDD,전화면접,519,21.9,1.3,2
2016/04/06,2016/04/06,2016/04/06,경기,오산시,경기오산시,0.4749,0.291,0.1465,0,0,0,0,0.520495397,0.318939062,0.160565541,0,0,0,0,0.0876,윈스리서치,타임뉴스,유선RDD,ARS,824,2.2,2.43,3
2016/04/05,2016/04/06,2016/04/06,경기,김포시을,경기김포시을,0.493,0.316,0.112,0,0,0,0,0.535287731,0.34310532,0.121606949,0,0,0,0,0.079,리얼미터,경기신문,유선/스마트폰앱혼합,ARS,516,2.3,2.54,3
